DoF;Unit;N_Total;N_Pass;N_Watch;N_Act;PassRate_AE;WatchRate_AE;ActRate_AE
longitudinal;mm;575;575;0;0;100.0;0.0;0.0
lateral;mm;575;575;0;0;100.0;0.0;0.0
vertical;mm;575;575;0;0;100.0;0.0;0.0
roll;deg;575;575;0;0;100.0;0.0;0.0
pitch;deg;575;575;0;0;100.0;0.0;0.0
yaw;deg;575;575;0;0;100.0;0.0;0.0
