DoF;Unit;Deflection;Pad_Temperature;Meas_Couch_Type;Couch_Angle;Mean_Absolute_Error;RMSE;Max_Absolute_Error;N_Samples
longitudinal;mm;1;32C;single angle;0;0.13315178259323712;0.16484654815999628;0.3543582330649224;88
longitudinal;mm;2;32C;single angle;0;0.19436689673075097;0.22787615038744544;0.49639846018802203;199
longitudinal;mm;1;RT;single angle;0;0.14162480491020465;0.18766545495451256;0.5303058066541615;88
longitudinal;mm;2;RT;single angle;0;0.21002994821055013;0.2604588713539244;0.6931709109689486;200
lateral;mm;1;32C;single angle;0;0.09143347015274066;0.12434130233818248;0.2;88
lateral;mm;2;32C;single angle;0;0.20957065567049984;0.2578999986226493;0.5;199
lateral;mm;1;RT;single angle;0;0.07389085737895756;0.10365498633647476;0.2;88
lateral;mm;2;RT;single angle;0;0.20695924452683356;0.25480686729341306;0.5;200
vertical;mm;1;32C;single angle;0;0.0513819191945565;0.06790302665178145;0.16448179966337673;88
vertical;mm;2;32C;single angle;0;0.1599099091225536;0.1971348231202331;0.39350228297513157;199
vertical;mm;1;RT;single angle;0;0.09312339597547524;0.12048246677639741;0.22537014995010357;88
vertical;mm;2;RT;single angle;0;0.17738319678083933;0.22308458140488757;0.49350228297513166;200
roll;deg;1;32C;single angle;0;0.038286957228492895;0.05791172700437428;0.1250219109898549;88
roll;deg;2;32C;single angle;0;0.0815030018259572;0.11851564661854866;0.29667263763639634;199
roll;deg;1;RT;single angle;0;0.06507875207363539;0.07716866118572353;0.1256513826088113;88
roll;deg;2;RT;single angle;0;0.07915534087332256;0.11528183747327982;0.2915278215793969;200
pitch;deg;1;32C;single angle;0;0.06074236046905482;0.07321890263201145;0.2017020413464654;88
pitch;deg;2;32C;single angle;0;0.07565094703199961;0.10003091513533294;0.2482314018458993;199
pitch;deg;1;RT;single angle;0;0.06458141618441153;0.08499104255477734;0.215211832150088;88
pitch;deg;2;RT;single angle;0;0.07794249885190042;0.09611848573055813;0.27827154857123304;200
yaw;deg;1;32C;single angle;0;0.04369483563328346;0.08294059223014885;0.2509025462574268;88
yaw;deg;2;32C;single angle;0;0.18185119981919343;0.29413144560435744;0.7104530515144933;199
yaw;deg;1;RT;single angle;0;0.07684461253686241;0.11306292642532881;0.28501555282472524;88
yaw;deg;2;RT;single angle;0;0.16568142321866972;0.2735492966050393;0.6967369261515157;200
