DoF;Unit;Mean_Absolute_Error;RMSE;Max_Absolute_Error;N_Samples;Window_Start_Sec;Window_End_Sec
longitudinal;mm;0.19436689673075097;0.22787615038744544;0.49639846018802203;199;275.97950000000003;297.83299999999997
lateral;mm;0.20957065567049984;0.2578999986226493;0.5;199;275.97950000000003;297.83299999999997
vertical;mm;0.1599099091225536;0.1971348231202331;0.39350228297513157;199;275.97950000000003;297.83299999999997
roll;deg;0.0815030018259572;0.11851564661854866;0.29667263763639634;199;275.97950000000003;297.83299999999997
pitch;deg;0.07565094703199961;0.10003091513533294;0.2482314018458993;199;275.97950000000003;297.83299999999997
yaw;deg;0.18185119981919343;0.29413144560435744;0.7104530515144933;199;275.97950000000003;297.83299999999997
