DoF;Unit;Mean_Absolute_Error;RMSE;Max_Absolute_Error;N_Samples;Window_Start_Sec;Window_End_Sec
longitudinal;mm;0.5120267906499864;0.6217590069823606;1.2813437102922536;87;111.4645;120.811
lateral;mm;0.12232867131236286;0.15101364066679282;0.3;87;111.4645;120.811
vertical;mm;0.06303044037378795;0.08662931801873305;0.24371439373268755;87;111.4645;120.811
roll;deg;0.04070510708370381;0.07827844256936807;0.19739920790113008;87;111.4645;120.811
pitch;deg;0.11295472028088807;0.14383407186954986;0.3347072193426419;87;111.4645;120.811
yaw;deg;0.08827821791415627;0.14846377298492094;0.40775671069660663;87;111.4645;120.811
