DoF;Unit;Mean_Absolute_Error;RMSE;Max_Absolute_Error;N_Samples;Window_Start_Sec;Window_End_Sec
longitudinal;mm;0.13337705883116643;0.16834970631932045;0.4328154226580523;85;59.1255;68.3195
lateral;mm;0.03610750243586946;0.05725353733189917;0.1;85;59.1255;68.3195
vertical;mm;0.060881724576494115;0.07520989595786293;0.20000000000000004;85;59.1255;68.3195
roll;deg;0.021060748487959247;0.040804547521006186;0.1;85;59.1255;68.3195
pitch;deg;0.04737854095456887;0.06127933168742789;0.15140876567936384;85;59.1255;68.3195
yaw;deg;0.09977893167575536;0.19620364097510343;0.4850155528247252;85;59.1255;68.3195
