DoF;Unit;Deflection;Pad_Temperature;Meas_Couch_Type;Couch_Angle;Mean_Absolute_Error;RMSE;Max_Absolute_Error;N_Samples
longitudinal;mm;1;32C;single angle;0;0.5120267906499864;0.6217590069823606;1.2813437102922536;87
longitudinal;mm;2;32C;single angle;0;0.4314197576408701;0.5485212134482013;1.0862912696027465;199
longitudinal;mm;1;RT;single angle;0;0.6820671851329341;0.7621079247136365;1.231604578250117;85
longitudinal;mm;2;RT;single angle;0;0.9362456441842536;1.0976653494111175;2.0756448591343104;199
lateral;mm;1;32C;single angle;0;0.12232867131236286;0.15101364066679282;0.3;87
lateral;mm;2;32C;single angle;0;0.17717614219931385;0.20441982344679158;0.3;199
lateral;mm;1;RT;single angle;0;0.09649443300806763;0.1144008461751354;0.2;85
lateral;mm;2;RT;single angle;0;0.1837260001085959;0.23208190503120754;0.48086468445712216;199
vertical;mm;1;32C;single angle;0;0.06303044037378795;0.08662931801873305;0.24371439373268755;87
vertical;mm;2;32C;single angle;0;0.12591280378052494;0.16471795173659276;0.39668545552440904;199
vertical;mm;1;RT;single angle;0;0.08377238888628184;0.10127756647642344;0.28575477175071456;85
vertical;mm;2;RT;single angle;0;0.0933500716633093;0.11944465211928498;0.30788886244324054;199
roll;deg;1;32C;single angle;0;0.04070510708370381;0.07827844256936807;0.19739920790113008;87
roll;deg;2;32C;single angle;0;0.1285997456387685;0.23433357092011406;0.5771266253825098;199
roll;deg;1;RT;single angle;0;0.056811256754183366;0.08577809649747335;0.19739920790113008;85
roll;deg;2;RT;single angle;0;0.13701952513616653;0.24374555151413033;0.6715250386788318;199
pitch;deg;1;32C;single angle;0;0.11295472028088807;0.14383407186954986;0.3347072193426419;87
pitch;deg;2;32C;single angle;0;0.10337146774161317;0.12140516553804574;0.2576860054270096;199
pitch;deg;1;RT;single angle;0;0.15725187546767158;0.2020405897670513;0.38178499795400667;85
pitch;deg;2;RT;single angle;0;0.15575310444195542;0.20752827903125748;0.5140335438714042;199
yaw;deg;1;32C;single angle;0;0.08827821791415627;0.14846377298492094;0.40775671069660663;87
yaw;deg;2;32C;single angle;0;0.15469849896912946;0.2538411805652669;0.6855814263616548;199
yaw;deg;1;RT;single angle;0;0.06001277681202441;0.14398676195596477;0.5725199054424724;85
yaw;deg;2;RT;single angle;0;0.10745547470398394;0.21206360436717403;0.6961066886907685;199
