DoF;Unit;Deflection;Pad_Temperature;Meas_Couch_Type;Couch_Angle;Mean_Absolute_Error;RMSE;Max_Absolute_Error;N_Samples
longitudinal;mm;1;32C;single angle;0;0.2152806789413126;0.24574592511530974;0.5143848186795463;87
longitudinal;mm;2;32C;single angle;0;0.1806070123589283;0.23735854335481535;0.6622664983354518;199
longitudinal;mm;1;RT;single angle;0;0.18916314422084812;0.22909958264358918;0.5030921251832368;86
longitudinal;mm;2;RT;single angle;0;0.19186709299099905;0.24742970756915156;0.6438617138786986;198
lateral;mm;1;32C;single angle;0;0.12578755794657184;0.1539437960159155;0.3;87
lateral;mm;2;32C;single angle;0;0.17775186368763052;0.20513950829954652;0.3;199
lateral;mm;1;RT;single angle;0;0.09622109025031826;0.11272433691803027;0.2;86
lateral;mm;2;RT;single angle;0;0.18587677935192287;0.23335313037852756;0.4884529426865245;198
vertical;mm;1;32C;single angle;0;0.0651735154456141;0.08574034273010979;0.19978839696864603;87
vertical;mm;2;32C;single angle;0;0.15969611018174085;0.19742339886754862;0.39350228297513157;199
vertical;mm;1;RT;single angle;0;0.06707650449172511;0.08371255385917246;0.20000000000000004;86
vertical;mm;2;RT;single angle;0;0.10026267644362481;0.12140652166104333;0.3065902929124662;198
roll;deg;1;32C;single angle;0;0.044438892391966085;0.08269929931693969;0.19739920790113008;87
roll;deg;2;32C;single angle;0;0.13520897654058428;0.24208001082882263;0.6302742022367327;199
roll;deg;1;RT;single angle;0;0.06760204193279264;0.10000620345444997;0.2973992079011301;86
roll;deg;2;RT;single angle;0;0.14146329687040304;0.24785636056793708;0.6731388213270479;198
pitch;deg;1;32C;single angle;0;0.05313976510477153;0.06585720710032693;0.15105204378556358;87
pitch;deg;2;32C;single angle;0;0.10001068253392313;0.1174934442444015;0.25318595311669334;199
pitch;deg;1;RT;single angle;0;0.053166699469059116;0.06549104098626868;0.12840982596425032;86
pitch;deg;2;RT;single angle;0;0.07675872076020275;0.10041196856529158;0.2230452128262197;198
yaw;deg;1;32C;single angle;0;0.08279851182930549;0.13348416228024654;0.3850155528247252;87
yaw;deg;2;32C;single angle;0;0.14580476575808354;0.23610144375822;0.6104530515144933;199
yaw;deg;1;RT;single angle;0;0.04686643155408061;0.09571679309704127;0.311182689819956;86
yaw;deg;2;RT;single angle;0;0.09696633909512872;0.1920313998150477;0.6311286200062283;198
