DoF;Unit;Deflection;Pad_Temperature;Meas_Couch_Type;Couch_Angle;PassRate_AE;WatchRate_AE;ActRate_AE;N_Samples
longitudinal;mm;1;32C;single angle;0;49.42528735632184;34.48275862068966;16.091954022988507;87
longitudinal;mm;2;32C;single angle;0;72.36180904522612;15.075376884422111;12.56281407035176;199
longitudinal;mm;1;RT;single angle;0;18.823529411764707;64.70588235294117;16.470588235294116;85
longitudinal;mm;2;RT;single angle;0;29.64824120603015;16.582914572864322;53.768844221105525;199
lateral;mm;1;32C;single angle;0;100.0;0.0;0.0;87
lateral;mm;2;32C;single angle;0;100.0;0.0;0.0;199
lateral;mm;1;RT;single angle;0;100.0;0.0;0.0;85
lateral;mm;2;RT;single angle;0;100.0;0.0;0.0;199
vertical;mm;1;32C;single angle;0;100.0;0.0;0.0;87
vertical;mm;2;32C;single angle;0;100.0;0.0;0.0;199
vertical;mm;1;RT;single angle;0;100.0;0.0;0.0;85
vertical;mm;2;RT;single angle;0;100.0;0.0;0.0;199
roll;deg;1;32C;single angle;0;100.0;0.0;0.0;87
roll;deg;2;32C;single angle;0;84.92462311557789;15.075376884422111;0.0;199
roll;deg;1;RT;single angle;0;100.0;0.0;0.0;85
roll;deg;2;RT;single angle;0;84.42211055276383;15.577889447236181;0.0;199
pitch;deg;1;32C;single angle;0;100.0;0.0;0.0;87
pitch;deg;2;32C;single angle;0;100.0;0.0;0.0;199
pitch;deg;1;RT;single angle;0;100.0;0.0;0.0;85
pitch;deg;2;RT;single angle;0;98.49246231155779;1.5075376884422111;0.0;199
yaw;deg;1;32C;single angle;0;100.0;0.0;0.0;87
yaw;deg;2;32C;single angle;0;81.90954773869346;18.09045226130653;0.0;199
yaw;deg;1;RT;single angle;0;96.47058823529412;3.5294117647058822;0.0;85
yaw;deg;2;RT;single angle;0;92.46231155778895;7.5376884422110555;0.0;199
