DoF;Unit;Mean_Absolute_Error;RMSE;Max_Absolute_Error;N_Samples;Window_Start_Sec;Window_End_Sec
longitudinal;mm;0.17067400585685277;0.19797566383590845;0.4483288228427753;199;217.69;239.3435
lateral;mm;0.0854030028901473;0.10978615704934107;0.29654702151002776;199;217.69;239.3435
vertical;mm;0.03953776461038068;0.05913400371595929;0.19395771085118385;199;217.69;239.3435
roll;deg;0.07206166096774214;0.12630259655831697;0.37712662538250974;199;217.69;239.3435
pitch;deg;0.10029974295823783;0.12017791152499188;0.21131566508586808;199;217.69;239.3435
yaw;deg;0.1973869712152113;0.34688332333589844;0.8925253013282582;199;217.69;239.3435
