DoF;Unit;Mean_Absolute_Error;RMSE;Max_Absolute_Error;N_Samples;Window_Start_Sec;Window_End_Sec
longitudinal;mm;0.6781034833758002;0.7523362014266588;1.1497336039106933;85;118.048;127.16050000000001
lateral;mm;0.09649443300806763;0.1144008461751354;0.2;85;118.048;127.16050000000001
vertical;mm;0.08367147994539773;0.10087822199892618;0.2837335382565291;85;118.048;127.16050000000001
roll;deg;0.056809067857078226;0.08577383371559288;0.1973852319040452;85;118.048;127.16050000000001
pitch;deg;0.1572767022792411;0.20219795933861962;0.3821770267606919;85;118.048;127.16050000000001
yaw;deg;0.06001254881655235;0.14398628137037936;0.5725189045311828;85;118.048;127.16050000000001
