Time_Sec;lateral;longitudinal;vertical;pitch;yaw;roll;rmse3d;rmse_temp
110.10997108603667;0.0;0.1;0.0;-0.0;0.0;-0.0;0.7238320708274841;0.081045503616333
110.13940640741487;0.0;0.1;0.0;-0.0;0.0;-0.0;0.7122485041618347;0.07939818382263183
110.20944217207334;0.0;0.1;0.0;-0.0;0.0;-0.0;0.7044558525085449;0.07831904411315918
110.24395254886157;0.0;0.1;0.0;-0.0;0.0;-0.0;0.730827808380127;0.0797496223449707
110.34342363489824;0.0;0.0;0.0;-0.0;0.0;-0.0;0.728564977645874;0.08105113029479981
110.41345939955671;0.0;0.0;0.0;-0.0;0.0;-0.0;0.7139815092086792;0.08242021560668945
110.5443958291356;0.0;0.0;0.0;-0.0;0.0;-0.0;0.7335426211357117;0.08253993988037109
110.61646161595809;0.0;0.0;0.0;-0.0;0.0;-0.0;0.7341409921646118;0.08068633079528809
110.68040731412451;0.0;0.0;0.0;-0.0;0.0;-0.0;0.7121686339378357;0.08024442672729493
110.7829234334072;0.0;0.0;0.0;-0.0;-0.0;-0.0;0.7235437035560608;0.07933910846710206
110.84788414265564;0.0;0.1;0.0;-0.0;0.0;-0.0;0.7422630786895752;0.07885177612304688
110.95344529518437;0.0;0.1;0.0;-0.0;-0.0;-0.0;0.7329644560813904;0.08085380554199219
110.98186560548055;0.0;0.1;0.0;0.0;-0.0;-0.0;0.7062605619430542;0.08117441177368163
111.09453183558331;0.0;0.1;0.0;0.0;-0.0;-0.0;0.712333619594574;0.0807886028289795
111.15340247833971;0.0;0.1;0.0;0.0;-0.0;-0.0;0.7144073843955994;0.08237590789794921
111.18892786620995;0.0;0.1;0.0;0.0;-0.0;-0.0;0.7159987092018127;0.08351095199584961
111.29042897441063;0.0;0.1;0.0;0.0;-0.0;-0.0;0.7280263900756836;0.08458909034729004
111.35234465041306;0.0;0.1;0.0;0.0;-0.0;-0.0;0.7163921594619751;0.08577128410339356
111.42339542615353;0.0;0.1;0.0;-0.0;-0.0;-0.0;0.7384256720542908;0.08639451026916505
111.50662633487809;0.0;0.1;0.0;-0.0;-0.0;-0.0;0.7159424424171448;0.08563185691833496
111.55636187789644;0.0;0.1;0.0;0.0;-0.0;-0.0;0.7321948409080505;0.09007600784301757
111.639592786621;0.0;0.1;0.0;0.0;-0.0;-0.0;0.7192482948303223;0.08994140625
111.72485371750956;0.0;0.1;0.0;0.0;-0.0;-0.0;0.7255215048789978;0.08530855178833008
111.79793451541406;0.0;0.1;0.0;0.0;-0.0;-0.0;0.7256861329078674;0.08274779319763184
111.82635482571025;0.0;0.1;0.0;0.0;-0.0;-0.0;0.7682881355285645;0.08162704467773438
111.86188021358049;0.0;0.1;0.0;0.0;-0.0;-0.0;0.7231382131576538;0.08171747207641601
111.99890670965142;0.0;0.1;0.0;0.0;-0.0;-0.0;0.7371366024017334;0.0814525032043457
112.06488242998186;0.0;0.1;0.0;0.0;-0.0;-0.0;0.7418559193611145;0.08349603652954102
112.0993928067701;0.0;0.1;0.0;0.0;-0.0;-0.0;0.7114399671554565;0.0876835060119629
112.16333850493653;0.0;0.1;0.0;0.0;-0.0;-0.0;0.7204596996307373;0.09379217147827149
112.22829921418497;0.0;0.1;0.0;0.0;-0.0;-0.0;0.7566868662834167;0.09690656661987304
112.29528994559742;0.0;0.1;0.0;0.0;-0.0;-0.0;0.7246279716491699;0.10211639404296875
