DoF;Unit;Mean_Absolute_Error;RMSE;Max_Absolute_Error;N_Samples;Window_Start_Sec;Window_End_Sec
longitudinal;mm;0.21722071285955652;0.25039624404126887;0.525606770908599;199;234.0985;255.776
lateral;mm;0.10095291128370844;0.12506553530955614;0.3;199;234.0985;255.776
vertical;mm;0.04926030562970235;0.06344659169674954;0.14992774323858252;199;234.0985;255.776
roll;deg;0.08646250068474934;0.13557110039664005;0.37712662538250974;199;234.0985;255.776
pitch;deg;0.04456469193519224;0.06189044128309482;0.14117124442689866;199;234.0985;255.776
yaw;deg;0.16519675659017855;0.33467019257315483;0.8474556313232988;199;234.0985;255.776
