DoF;Unit;Deflection;Pad_Temperature;Meas_Couch_Type;Couch_Angle;Mean_Absolute_Error;RMSE;Max_Absolute_Error;N_Samples
longitudinal;mm;1;32C;single angle;0;0.13337705883116643;0.16834970631932045;0.4328154226580523;85
longitudinal;mm;2;32C;single angle;0;0.17067400585685277;0.19797566383590845;0.4483288228427753;199
longitudinal;mm;1;RT;single angle;0;0.18818852507234343;0.23872461527879998;0.5484960991425449;85
longitudinal;mm;2;RT;single angle;0;0.18107457195341853;0.22094385185141124;0.4897443075428143;198
lateral;mm;1;32C;single angle;0;0.03610750243586946;0.05725353733189917;0.1;85
lateral;mm;2;32C;single angle;0;0.0854030028901473;0.10978615704934107;0.29654702151002776;199
lateral;mm;1;RT;single angle;0;0.05093437564982469;0.06876277450866855;0.1;85
lateral;mm;2;RT;single angle;0;0.1002171071030803;0.1337233716688668;0.3;198
vertical;mm;1;32C;single angle;0;0.060881724576494115;0.07520989595786293;0.20000000000000004;85
vertical;mm;2;32C;single angle;0;0.03953776461038068;0.05913400371595929;0.19395771085118385;199
vertical;mm;1;RT;single angle;0;0.03078071748908301;0.04569896101010564;0.10000000000000026;85
vertical;mm;2;RT;single angle;0;0.06584010313002926;0.07623868593775085;0.14575671039913596;198
roll;deg;1;32C;single angle;0;0.021060748487959247;0.040804547521006186;0.1;85
roll;deg;2;32C;single angle;0;0.07206166096774214;0.12630259655831697;0.37712662538250974;199
roll;deg;1;RT;single angle;0;0.0138512684916815;0.035149447095529744;0.09739920790113012;85
roll;deg;2;RT;single angle;0;0.08282058610596169;0.12952169643077874;0.36990187510124684;198
pitch;deg;1;32C;single angle;0;0.04737854095456887;0.06127933168742789;0.15140876567936384;85
pitch;deg;2;32C;single angle;0;0.10029974295823783;0.12017791152499188;0.21131566508586808;199
pitch;deg;1;RT;single angle;0;0.05096034401734586;0.06261885969204874;0.11528037575688899;85
pitch;deg;2;RT;single angle;0;0.10772267881666782;0.12890091640339843;0.2806766044175699;198
yaw;deg;1;32C;single angle;0;0.09977893167575536;0.19620364097510343;0.4850155528247252;85
yaw;deg;2;32C;single angle;0;0.1973869712152113;0.34688332333589844;0.8925253013282582;199
yaw;deg;1;RT;single angle;0;0.06303221523404179;0.11640154634405135;0.28501555282472524;85
yaw;deg;2;RT;single angle;0;0.25845348050109673;0.3889884904941435;0.9684805125992225;198
